Parsing blog №14
04.06.10	11:39	exelens        	Санкт-Петербург   	GMT+3	11
27.10.09	01:41	idler          	None              	GMT+3	1
23.10.09	23:38	predator       	Москва            	GMT+3	23
23.10.09	23:12	exelens        	Санкт-Петербург   	GMT+3	23
23.10.09	03:03	bobry          	Санкт-Петербург   	GMT+3	3
22.10.09	22:58	lwilis         	Сергиев Посад     	GMT+3	22
21.10.09	17:54	jrun           	Воскресенск       	GMT+3	17
20.10.09	23:20	ZogG           	Тель-Авив         	GMT+3	23
19.10.09	20:38	exelens        	Санкт-Петербург   	GMT+3	20
17.10.09	17:30	exelens        	Санкт-Петербург   	GMT+3	17
15.10.09	21:59	Username       	Рязань            	GMT+3	21
08.10.09	20:48	exelens        	Санкт-Петербург   	GMT+3	20
07.10.09	21:31	digiwhite      	Санкт-Петербург   	GMT+3	21
07.10.09	20:21	exelens        	Санкт-Петербург   	GMT+3	20
06.10.09	16:43	exelens        	Санкт-Петербург   	GMT+3	16
05.10.09	22:31	exelens        	Санкт-Петербург   	GMT+3	22
05.10.09	13:55	xdemon         	Москва            	GMT+3	13
04.10.09	19:32	exelens        	Санкт-Петербург   	GMT+3	19
29.09.09	21:53	ZogG           	Тель-Авив         	GMT+3	21
29.09.09	09:33	exelens        	Санкт-Петербург   	GMT+3	9
28.09.09	20:31	Astramak       	Астрахань         	GMT+3	20
25.09.09	20:36	ZogG           	Тель-Авив         	GMT+3	20
24.09.09	10:34	exelens        	Санкт-Петербург   	GMT+3	10
22.09.09	14:35	Astramak       	Астрахань         	GMT+3	14
22.09.09	07:19	exelens        	Санкт-Петербург   	GMT+3	7
21.09.09	08:01	exelens        	Санкт-Петербург   	GMT+3	8
21.09.09	00:29	ZogG           	Тель-Авив         	GMT+3	0
18.09.09	12:22	exelens        	Санкт-Петербург   	GMT+3	12
18.09.09	08:02	exelens        	Санкт-Петербург   	GMT+3	8
18.09.09	01:18	Astramak       	Астрахань         	GMT+3	1
17.09.09	16:28	exelens        	Санкт-Петербург   	GMT+3	16
16.09.09	17:48	exelens        	Санкт-Петербург   	GMT+3	17
11.09.09	22:11	exelens        	Санкт-Петербург   	GMT+3	22
10.09.09	19:39	exelens        	Санкт-Петербург   	GMT+3	19
10.09.09	16:50	exelens        	Санкт-Петербург   	GMT+3	16
09.09.09	20:00	predator       	Москва            	GMT+3	20
09.09.09	09:33	xloroff        	None              	GMT+3	9
07.09.09	15:14	exelens        	Санкт-Петербург   	GMT+3	15
02.09.09	17:34	muhas          	Псков             	GMT+3	17
30.08.09	14:16	exelens        	Санкт-Петербург   	GMT+3	14
20.08.09	14:36	exelens        	Санкт-Петербург   	GMT+3	14
16.08.09	19:46	exelens        	Санкт-Петербург   	GMT+3	19
14.08.09	17:19	muhas          	Псков             	GMT+3	17
13.08.09	11:39	Username       	Рязань            	GMT+3	11
11.08.09	13:51	exelens        	Санкт-Петербург   	GMT+3	13
09.08.09	09:57	exelens        	Санкт-Петербург   	GMT+3	9
03.08.09	15:56	exelens        	Санкт-Петербург   	GMT+3	15
03.08.09	13:29	exelens        	Санкт-Петербург   	GMT+3	13
28.07.09	22:37	exelens        	Санкт-Петербург   	GMT+3	22
28.07.09	11:01	exelens        	Санкт-Петербург   	GMT+3	11
28.07.09	04:25	monolith       	Ангарск           	GMT+5	6
26.07.09	21:12	exelens        	Санкт-Петербург   	GMT+3	21
21.07.09	15:05	Username       	Рязань            	GMT+3	15
20.07.09	12:42	exelens        	Санкт-Петербург   	GMT+3	12
14.07.09	16:50	|xed|          	Санкт-Петербург   	GMT+3	16
12.07.09	12:12	exelens        	Санкт-Петербург   	GMT+3	12
10.07.09	16:58	exelens        	Санкт-Петербург   	GMT+3	16
03.07.09	17:26	exelens        	Санкт-Петербург   	GMT+3	17
02.07.09	07:45	exelens        	Санкт-Петербург   	GMT+3	7
24.06.09	18:25	exelens        	Санкт-Петербург   	GMT+3	18
17.06.09	19:09	exelens        	Санкт-Петербург   	GMT+3	19
11.06.09	17:08	nvbn           	Ангарск           	GMT+5	19
05.06.09	00:10	xT             	Омск              	GMT+6	3
03.06.09	20:26	exelens        	Санкт-Петербург   	GMT+3	20
03.06.09	16:03	exelens        	Санкт-Петербург   	GMT+3	16
29.05.09	13:30	exelens        	Санкт-Петербург   	GMT+3	13
29.05.09	11:35	nvbn           	Ангарск           	GMT+5	13
24.05.09	13:25	exelens        	Санкт-Петербург   	GMT+3	13
15.05.09	17:56	exelens        	Санкт-Петербург   	GMT+3	17
15.05.09	17:53	exelens        	Санкт-Петербург   	GMT+3	17
14.05.09	14:14	nvbn           	Ангарск           	GMT+5	16
14.05.09	00:51	konkere        	Санкт-Петербург   	GMT+3	0
12.05.09	07:56	exelens        	Санкт-Петербург   	GMT+3	7
05.05.09	20:17	exelens        	Санкт-Петербург   	GMT+3	20
29.04.09	07:29	exelens        	Санкт-Петербург   	GMT+3	7
25.04.09	13:03	exelens        	Санкт-Петербург   	GMT+3	13
25.04.09	11:39	exelens        	Санкт-Петербург   	GMT+3	11
12.04.09	12:20	exelens        	Санкт-Петербург   	GMT+3	12
01.04.09	00:25	exelens        	Санкт-Петербург   	GMT+3	0
30.03.09	08:05	exelens        	Санкт-Петербург   	GMT+3	8
28.03.09	20:13	exelens        	Санкт-Петербург   	GMT+3	20
27.03.09	22:39	Username       	Рязань            	GMT+3	22
26.03.09	09:54	exelens        	Санкт-Петербург   	GMT+3	9
24.03.09	22:40	exelens        	Санкт-Петербург   	GMT+3	22
24.03.09	15:52	exelens        	Санкт-Петербург   	GMT+3	15
16.03.09	19:53	exelens        	Санкт-Петербург   	GMT+3	19
13.03.09	15:55	exelens        	Санкт-Петербург   	GMT+3	15
12.03.09	12:04	Username       	Рязань            	GMT+3	12
10.03.09	14:38	exelens        	Санкт-Петербург   	GMT+3	14
09.03.09	18:37	Minoru         	None              	GMT+3	18
09.03.09	08:56	exelens        	Санкт-Петербург   	GMT+3	8
07.03.09	17:18	nvbn           	Ангарск           	GMT+5	19
07.03.09	07:54	exelens        	Санкт-Петербург   	GMT+3	7
27.02.09	15:48	nvbn           	Ангарск           	GMT+5	17
07.02.09	12:10	exelens        	Санкт-Петербург   	GMT+3	12
05.02.09	09:55	muhas          	Псков             	GMT+3	9
04.02.09	19:53	exelens        	Санкт-Петербург   	GMT+3	19
29.01.09	10:39	exelens        	Санкт-Петербург   	GMT+3	10
22.01.09	23:07	exelens        	Санкт-Петербург   	GMT+3	23
21.01.09	14:35	exelens        	Санкт-Петербург   	GMT+3	14
12.01.09	13:24	exelens        	Санкт-Петербург   	GMT+3	13
08.01.09	11:45	exelens        	Санкт-Петербург   	GMT+3	11
07.01.09	16:59	exelens        	Санкт-Петербург   	GMT+3	16

By-hour statictics for blog №14: 
 0: 3.61%	 [==                                                                              ]
 1: 1.81%	 [=                                                                               ]
 2: 0.60%	 [                                                                                ]
 3: 1.20%	 [                                                                                ]
 4: 0.00%	 [                                                                                ]
 5: 0.00%	 [                                                                                ]
 6: 0.60%	 [                                                                                ]
 7: 3.61%	 [==                                                                              ]
 8: 6.02%	 [====                                                                            ]
 9: 7.23%	 [=====                                                                           ]
10: 1.20%	 [                                                                                ]
11: 4.22%	 [===                                                                             ]
12: 6.63%	 [=====                                                                           ]
13: 7.23%	 [=====                                                                           ]
14: 4.22%	 [===                                                                             ]
15: 3.61%	 [==                                                                              ]
16: 9.64%	 [=======                                                                         ]
17: 7.83%	 [======                                                                          ]
18: 3.01%	 [==                                                                              ]
19: 4.82%	 [===                                                                             ]
20: 8.43%	 [======                                                                          ]
21: 3.01%	 [==                                                                              ]
22: 7.23%	 [=====                                                                           ]
23: 4.22%	 [===                                                                             ]


